а/а;гЛ/МъА;аИТИОКОЦъА;йАТэСТГЛА;тОЙИСЛЭР АПЭ;аЯ. СУМАККАЦчР;пОСЭ;пЯЭСГЛО ПОСОЩ
1;02/02/2017;енода пкгяылгс;96;2/2/2017;20170202096023н259;0,30;в
2;02/02/2017;еуяпи000000102838461;96;2/2/2017;20170202096023н259;139,63;в
3;01/02/2017;енода амак.ехмийг;99;1/2/2017;201702010997708218;1,50;в
4;01/02/2017;амак. атл ехмийг;99;1/2/2017;201702010997708218;150,00;в
5;31/01/2017;амакгьг апо атл;995;31/1/2017;201701319952770008;220,00;в
6;30/01/2017;енода амак.пеияаиыс;99;28/1/2017;201701300997704975;1,50;в
7;30/01/2017;амак. атл пеияаиыс;99;28/1/2017;201701300997704975;70,00;в
8;26/01/2017;йаSSоиL ее;99;24/1/2017;201701260994897278;63,00;в
9;23/01/2017;оятиCаL тге лаLL;99;19/1/2017;201701230994905889;282,50;в
10;23/01/2017;амакгьг апо атл;145;22/1/2017;201701231450210516;50,00;в
11;23/01/2017;жоятисг яRеяаиD лC;96;23/1/2017;20170123096014н620;150,00;в
12;20/01/2017;емт.170120949028н951;99;20/1/2017;201701200999513601;1.149,29;п
13;18/01/2017;VамS-Lее WRамGLеR ла;99;14/1/2017;201701180994922954;75,96;в
14;18/01/2017;ой амутиле;99;13/1/2017;201701180994851465;12,58;в
15;17/01/2017;амакгьг апо атл;995;17/1/2017;201701179952590210;40,00;в
16;16/01/2017;оятиCаL тге лаLL;99;14/1/2017;201701160995025699;100,00;в
17;16/01/2017;енода амак.ехмийг;99;14/1/2017;201701160997700076;1,50;в
18;16/01/2017;амак. атл ехмийг;99;14/1/2017;201701160997700076;80,00;в
19;13/01/2017;йаSSоиL ее;99;11/1/2017;201701130994893347;60,00;в
20;12/01/2017;амакгьг апо атл;214;12/1/2017;201701122140220150;40,00;в
21;12/01/2017;лу лаRйет 563 летало;99;10/1/2017;201701120994909742;1,14;в
22;11/01/2017;енода амак.ехмийг;99;11/1/2017;201701110997706608;1,50;в
23;11/01/2017;амак. атл ехмийг;99;11/1/2017;201701110997706608;40,00;в
24;10/01/2017;емт.170110949018н860;99;10/1/2017;201701100999514459;23,00;п
25;09/01/2017;летяым 6 - ц2;99;9/1/2017;201701090999513542;49,70;в
26;09/01/2017;жоятисг яRеяаиD лC;96;9/1/2017;20170109096024н282;150,00;в
27;05/01/2017;енода амак.пеияаиыс;99;5/1/2017;201701050997707250;1,50;в
28;05/01/2017;амак. атл пеияаиыс;99;5/1/2017;201701050997707250;70,00;в
29;04/01/2017;VиLLаGе RоаDSгоW;99;2/1/2017;201701040995000917;45,00;в
30;02/01/2017;амакгьг апо атл;995;2/1/2017;201701029952590696;80,00;в
31;31/12/2016;сульгжислос тойым;99;31/12/2016;201612310990000000;4,33;п
